| epoch: 1 | accuracy: 33 | precision: 0.04829059829059829 | recall: 0.07822204968944099 | f1-score: 0.05931738366988587 |
| epoch: 2 | accuracy: 35 | precision: 0.034401220442410375 | recall: 0.08315151515151516 | f1-score: 0.04622667780562518 |
| epoch: 3 | accuracy: 35 | precision: 0.04166666666666667 | recall: 0.08648989898989899 | f1-score: 0.05611979166666667 |
| epoch: 4 | accuracy: 36 | precision: 0.05332566609162354 | recall: 0.104720406681191 | f1-score: 0.06875 |
| epoch: 5 | accuracy: 37 | precision: 0.03190220632081097 | recall: 0.06221719457013575 | f1-score: 0.04153846153846154 |
| epoch: 6 | accuracy: 37 | precision: 0.043991640543364685 | recall: 0.0808187134502924 | f1-score: 0.05433210988766544 |
| epoch: 7 | accuracy: 38 | precision: 0.1064046895353886 | recall: 0.12388278388278387 | f1-score: 0.10419112850619698 |
| epoch: 8 | accuracy: 39 | precision: 0.09157509157509157 | recall: 0.12205615942028986 | f1-score: 0.09396242738845631 |
| epoch: 9 | accuracy: 39 | precision: 0.0738553701326487 | recall: 0.12588183421516755 | f1-score: 0.0925925925925926 |
| epoch: 10 | accuracy: 40 | precision: 0.06192981940402348 | recall: 0.10650623885918005 | f1-score: 0.07685778998699283 |
| epoch: 11 | accuracy: 41 | precision: 0.12202380952380952 | recall: 0.1718944099378882 | f1-score: 0.13950368879946345 |
| epoch: 12 | accuracy: 41 | precision: 0.13212365591397848 | recall: 0.12165432098765432 | f1-score: 0.11549734472738725 |
| epoch: 13 | accuracy: 42 | precision: 0.08547979797979799 | recall: 0.13839285714285715 | f1-score: 0.10412009438648784 |
| epoch: 14 | accuracy: 42 | precision: 0.04277969830295412 | recall: 0.09263392857142858 | f1-score: 0.057053494391717 |
| epoch: 15 | accuracy: 43 | precision: 0.2020833333333333 | recall: 0.14917582417582417 | f1-score: 0.1503688197767145 |
| epoch: 16 | accuracy: 44 | precision: 0.15811449579831932 | recall: 0.16152303312629399 | f1-score: 0.14568178896226924 |
| epoch: 17 | accuracy: 44 | precision: 0.07400871459694988 | recall: 0.12407407407407407 | f1-score: 0.08963223787167449 |
| epoch: 18 | accuracy: 45 | precision: 0.10989304812834226 | recall: 0.12986425339366517 | f1-score: 0.10872778489927043 |
| epoch: 19 | accuracy: 45 | precision: 0.07169676381190775 | recall: 0.12393282671920443 | f1-score: 0.08666417941383742 |
| epoch: 20 | accuracy: 46 | precision: 0.18153617216117215 | recall: 0.16666666666666669 | f1-score: 0.1571195956441858 |
| epoch: 21 | accuracy: 46 | precision: 0.1529625345414819 | recall: 0.18657219973009445 | f1-score: 0.164129863233098 |
| epoch: 22 | accuracy: 47 | precision: 0.09111721611721611 | recall: 0.11957908163265306 | f1-score: 0.09476699770817416 |
| epoch: 23 | accuracy: 48 | precision: 0.12075702075702076 | recall: 0.17266067266067267 | f1-score: 0.14145988420181968 |
| epoch: 24 | accuracy: 50 | precision: 0.15574420574420575 | recall: 0.20162337662337662 | f1-score: 0.16416482874608498 |
| epoch: 25 | accuracy: 49 | precision: 0.20587384259259262 | recall: 0.21577380952380953 | f1-score: 0.18840962441314552 |
| epoch: 26 | accuracy: 50 | precision: 0.3032837866329327 | recall: 0.2964830376595083 | f1-score: 0.27790974258716195 |
| epoch: 27 | accuracy: 51 | precision: 0.24364364364364366 | recall: 0.2238562091503268 | f1-score: 0.20990448217398575 |
| epoch: 28 | accuracy: 51 | precision: 0.14616755793226383 | recall: 0.21113952827507815 | f1-score: 0.15709336908005053 |
| epoch: 29 | accuracy: 53 | precision: 0.29015646662705485 | recall: 0.27443639291465377 | f1-score: 0.2513680690195089 |
| epoch: 30 | accuracy: 53 | precision: 0.15704517704517704 | recall: 0.1601587301587302 | f1-score: 0.14901579901579903 |
| epoch: 31 | accuracy: 55 | precision: 0.21292540004507549 | recall: 0.21989989177489175 | f1-score: 0.20376450867703405 |
| epoch: 32 | accuracy: 55 | precision: 0.23308554190907133 | recall: 0.24375194522253346 | f1-score: 0.23436155789096966 |
